CODE_UNIT,DATE,AMOUNT,HM_CALC,CONSUMPTION,HM_HRS,PRODUCTION_OB,CONSUMPTION_CALC,CONSUMPTION_HRS
EX41,2022-06-18,2131.0,18.0,134.1298701298701,9.0,2600.0,118.38888888888889,236.77777777777777
EX41,2022-06-19,1957.0,20.0,82.01515151515152,14.0,4075.0,97.85,139.78571428571428
EX41,2022-06-20,1021.0,11.0,202.58333333333334,16.5,6422.0,92.81818181818181,61.878787878787875
EX41,2022-06-21,1551.0,16.0,156.04166666666669,0.0,0.0,96.9375,inf
EX41,2022-06-22,2146.0,21.0,101.2590909090909,12.0,5670.0,102.19047619047619,178.83333333333334
EX41,2022-06-23,2037.0,20.0,104.63636363636363,21.0,10125.0,101.85,97.0
EX41,2022-06-24,1674.0,18.0,102.39610389610388,16.0,6549.0,93.0,104.625
EX41,2022-06-25,1067.0,24.0,104.25,21.0,11045.0,44.458333333333336,50.80952380952381
EX41,2022-06-26,1251.0,8.0,104.625,18.0,8086.0,156.375,69.5
EX41,2022-06-27,1687.0,9.0,185.41666666666663,21.0,10125.0,187.44444444444446,80.33333333333333
EX41,2022-06-28,2202.0,20.0,110.2777777777778,12.0,3585.0,110.1,183.5
EX41,2022-06-29,2144.0,20.0,96.0,12.0,5081.0,107.2,178.66666666666666
EX41,2022-06-30,1604.0,20.0,100.9375,22.0,12870.0,80.2,72.9090909090909
EX41,2022-07-01,2182.0,21.0,103.29545454545455,10.0,5014.0,103.9047619047619,218.2
EX41,2022-07-02,2157.0,21.0,102.5090909090909,22.0,10185.0,102.71428571428571,98.04545454545455
EX41,2022-07-03,2158.0,22.0,82.4090909090909,,,98.0909090909091,
EX41,2022-07-04,1433.0,16.0,124.35,,,89.5625,
EX41,2022-07-05,1910.0,19.0,89.89444444444445,22.0,10409.0,100.52631578947368,86.81818181818181
EX41,2022-07-06,1612.0,16.0,122.89682539682542,20.0,8640.0,100.75,80.6
EX41,2022-07-07,2295.0,23.0,99.79924242424244,22.0,7725.6,99.78260869565217,104.31818181818181
EX41,2022-07-08,2199.0,21.0,104.41363636363636,13.0,3820.0,104.71428571428571,169.15384615384616
EX41,2022-07-09,1489.0,16.0,83.92727272727274,10.0,5220.0,93.0625,148.9
EX41,2022-07-10,0.0,7.0,96.0,10.0,5760.0,0.0,0.0
EX41,2022-07-11,1605.0,10.0,102.7,9.0,4725.0,160.5,178.33333333333334
EX41,2022-07-12,2149.0,21.0,96.32727272727273,11.0,5850.0,102.33333333333333,195.36363636363637
EX41,2022-07-13,2041.0,20.0,110.63131313131316,19.0,4590.0,102.05,107.42105263157895
EX41,2022-07-14,2228.0,22.0,102.4090909090909,22.0,11160.0,101.27272727272727,101.27272727272727
EX41,2022-07-15,2075.0,22.0,98.86363636363637,13.0,3960.0,94.31818181818181,159.6153846153846
EX41,2022-07-16,1146.0,22.0,120.725,0.0,1444.0,52.09090909090909,inf
EX41,2022-07-17,2441.0,12.0,44.91666666666666,21.0,11765.5,203.41666666666666,116.23809523809524
EX41,2022-07-18,1169.0,18.0,106.375,16.0,6442.0,64.94444444444444,73.0625
